street,city,zip,rooms,sq__ft,type,sale_date,price
8373 BLACKMAN WAY,ELK GROVE,95624,5,2136,Residential,Wed May 21 00:00:00 EDT 2008,223058
9837 CORTE DORADO CT,ELK GROVE,95624,4,1616,Residential,Wed May 21 00:00:00 EDT 2008,227887
5037 J PKWY,SACRAMENTO,95823,3,1478,Residential,Wed May 21 00:00:00 EDT 2008,231477
10245 LOS PALOS DR,RANCHO CORDOVA,95670,3,1287,Residential,Wed May 21 00:00:00 EDT 2008,234697
6613 NAVION DR,CITRUS HEIGHTS,95621,4,1277,Residential,Wed May 21 00:00:00 EDT 2008,235000
2887 AZEVEDO DR,SACRAMENTO,95833,4,1448,Residential,Wed May 21 00:00:00 EDT 2008,236000
9186 KINBRACE CT,SACRAMENTO,95829,4,2235,Residential,Wed May 21 00:00:00 EDT 2008,236685
4243 MIDDLEBURY WAY,MATHER,95655,3,2093,Residential,Wed May 21 00:00:00 EDT 2008,237800
1028 FALLON PLACE CT,RIO LINDA,95673,3,1193,Residential,Wed May 21 00:00:00 EDT 2008,240122
4804 NORIKER DR,ELK GROVE,95757,3,2163,Residential,Wed May 21 00:00:00 EDT 2008,242638
7713 HARVEST WOODS DR,SACRAMENTO,95828,3,1269,Residential,Wed May 21 00:00:00 EDT 2008,244000
2866 KARITSA AVE,SACRAMENTO,95833,0,0,Residential,Wed May 21 00:00:00 EDT 2008,244500
6913 RICHEVE WAY,SACRAMENTO,95828,3,958,Residential,Wed May 21 00:00:00 EDT 2008,244960
8636 TEGEA WAY,ELK GROVE,95624,5,2508,Residential,Wed May 21 00:00:00 EDT 2008,245918
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,3,1305,Residential,Wed May 21 00:00:00 EDT 2008,250000
18 OLLIE CT,ELK GROVE,95758,4,1591,Residential,Wed May 21 00:00:00 EDT 2008,250000
4010 ALEX LN,CARMICHAEL,95608,2,1326,Condo,Wed May 21 00:00:00 EDT 2008,250134
4901 MILLNER WAY,ELK GROVE,95757,3,1843,Residential,Wed May 21 00:00:00 EDT 2008,254200
4818 BRITTNEY LEE CT,SACRAMENTO,95841,4,1921,Residential,Wed May 21 00:00:00 EDT 2008,254200
5529 LAGUNA PARK DR,ELK GROVE,95758,5,2790,Residential,Wed May 21 00:00:00 EDT 2008,258000
230 CANDELA CIR,SACRAMENTO,95835,3,1541,Residential,Wed May 21 00:00:00 EDT 2008,260000
4900 71ST ST,SACRAMENTO,95820,3,1018,Residential,Wed May 21 00:00:00 EDT 2008,260014
12209 CONSERVANCY WAY,RANCHO CORDOVA,95742,0,0,Residential,Wed May 21 00:00:00 EDT 2008,263500
4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,3,1672,Condo,Wed May 21 00:00:00 EDT 2008,265000
5615 LUPIN LN,POLLOCK PINES,95726,3,1380,Residential,Wed May 21 00:00:00 EDT 2008,265000
5625 JAMES WAY,SACRAMENTO,95822,3,975,Residential,Wed May 21 00:00:00 EDT 2008,271742
7842 LAHONTAN CT,SACRAMENTO,95829,4,2372,Residential,Wed May 21 00:00:00 EDT 2008,273750
6850 21ST ST,SACRAMENTO,95822,3,1446,Residential,Wed May 21 00:00:00 EDT 2008,275086
2900 BLAIR RD,POLLOCK PINES,95726,2,1284,Residential,Wed May 21 00:00:00 EDT 2008,280908
2064 EXPEDITION WAY,SACRAMENTO,95832,4,3009,Residential,Wed May 21 00:00:00 EDT 2008,280987
2912 NORCADE CIR,SACRAMENTO,95826,8,3612,Multi-Family,Wed May 21 00:00:00 EDT 2008,282400
9507 SEA CLIFF WAY,ELK GROVE,95758,4,2056,Residential,Wed May 21 00:00:00 EDT 2008,285000
8882 AUTUMN GOLD CT,ELK GROVE,95624,4,1993,Residential,Wed May 21 00:00:00 EDT 2008,287417
5322 WHITE LOTUS WAY,ELK GROVE,95757,3,1857,Residential,Wed May 21 00:00:00 EDT 2008,291000
1838 CASTRO WAY,SACRAMENTO,95818,2,1126,Residential,Wed May 21 00:00:00 EDT 2008,292024
10158 CRAWFORD WAY,SACRAMENTO,95827,4,2213,Multi-Family,Wed May 21 00:00:00 EDT 2008,297000
7731 MASTERS ST,ELK GROVE,95758,5,2494,Residential,Wed May 21 00:00:00 EDT 2008,297000
4925 PERCHERON DR,ELK GROVE,95757,3,1843,Residential,Wed May 21 00:00:00 EDT 2008,298000
2010 PROMONTORY POINT LN,GOLD RIVER,95670,2,1520,Residential,Wed May 21 00:00:00 EDT 2008,299000
4727 SAVOIE WAY,SACRAMENTO,95835,5,2800,Residential,Wed May 21 00:00:00 EDT 2008,304037
8664 MAGNOLIA HILL WAY,ELK GROVE,95624,4,2309,Residential,Wed May 21 00:00:00 EDT 2008,311000
9570 HARVEST ROSE WAY,SACRAMENTO,95827,5,2367,Residential,Wed May 21 00:00:00 EDT 2008,315537
4359 CREGAN CT,RANCHO CORDOVA,95742,5,3516,Residential,Wed May 21 00:00:00 EDT 2008,320000
5337 DUSTY ROSE WAY,RANCHO CORDOVA,95742,0,0,Residential,Wed May 21 00:00:00 EDT 2008,320000
8929 SUTTERS GOLD DR,SACRAMENTO,95826,4,1914,Residential,Wed May 21 00:00:00 EDT 2008,328360
8025 PEERLESS AVE,ORANGEVALE,95662,2,1690,Residential,Wed May 21 00:00:00 EDT 2008,334150
4620 WELERA WAY,ELK GROVE,95757,3,2725,Residential,Wed May 21 00:00:00 EDT 2008,335750
9723 TERRAPIN CT,ELK GROVE,95757,4,2354,Residential,Wed May 21 00:00:00 EDT 2008,335750
2115 SMOKESTACK WAY,SACRAMENTO,95833,0,0,Residential,Wed May 21 00:00:00 EDT 2008,339500
100 REBECCA WAY,FOLSOM,95630,3,2185,Residential,Wed May 21 00:00:00 EDT 2008,344250
9488 OAK VILLAGE WAY,ELK GROVE,95758,4,1801,Residential,Wed May 21 00:00:00 EDT 2008,346210
8495 DARTFORD DR,SACRAMENTO,95823,3,1961,Residential,Wed May 21 00:00:00 EDT 2008,347029
6708 PONTA DO SOL WAY,ELK GROVE,95757,4,3134,Residential,Wed May 21 00:00:00 EDT 2008,347650
4143 SEA MEADOW WAY,SACRAMENTO,95823,4,1915,Residential,Wed May 21 00:00:00 EDT 2008,351300
3020 RICHARDSON CIR,EL DORADO HILLS,95762,3,0,Residential,Wed May 21 00:00:00 EDT 2008,352000
8082 LINDA ISLE LN,SACRAMENTO,95831,0,0,Residential,Wed May 21 00:00:00 EDT 2008,370000
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,4,2734,Residential,Wed May 21 00:00:00 EDT 2008,370500
11215 SHARRMONT CT,WILTON,95693,3,2110,Residential,Wed May 21 00:00:00 EDT 2008,372000
7105 DANBERG WAY,ELK GROVE,95757,5,3164,Residential,Wed May 21 00:00:00 EDT 2008,375000
5579 JERRY LITELL WAY,SACRAMENTO,95835,5,3599,Residential,Wed May 21 00:00:00 EDT 2008,381300
1050 FOXHALL WAY,SACRAMENTO,95831,4,2054,Residential,Wed May 21 00:00:00 EDT 2008,381942
7837 ABBINGTON WAY,ANTELOPE,95843,4,1830,Residential,Wed May 21 00:00:00 EDT 2008,387731
1300 F ST,SACRAMENTO,95814,3,1627,Residential,Wed May 21 00:00:00 EDT 2008,391000
6801 RAWLEY WAY,ELK GROVE,95757,4,3440,Residential,Wed May 21 00:00:00 EDT 2008,394470
1693 SHELTER COVE DR,GREENWOOD,95635,3,2846,Residential,Wed May 21 00:00:00 EDT 2008,395000
9361 WADDELL LN,ELK GROVE,95624,4,2359,Residential,Wed May 21 00:00:00 EDT 2008,400186
10 SEA FOAM CT,SACRAMENTO,95831,3,2052,Residential,Wed May 21 00:00:00 EDT 2008,415000
6945 RIO TEJO WAY,ELK GROVE,95757,5,3433,Residential,Wed May 21 00:00:00 EDT 2008,425000
4186 TULIP PARK WAY,RANCHO CORDOVA,95742,5,3615,Residential,Wed May 21 00:00:00 EDT 2008,430000
9278 DAIRY CT,ELK GROVE,95624,0,0,Residential,Wed May 21 00:00:00 EDT 2008,445000
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,95630,5,2687,Residential,Wed May 21 00:00:00 EDT 2008,460000
6507 RIO DE ONAR WAY,ELK GROVE,95757,4,2724,Residential,Wed May 21 00:00:00 EDT 2008,461000
7004 RAWLEY WAY,ELK GROVE,95757,4,3440,Residential,Wed May 21 00:00:00 EDT 2008,489332
6503 RIO DE ONAR WAY,ELK GROVE,95757,5,3508,Residential,Wed May 21 00:00:00 EDT 2008,510000
2217 APPALOOSA CT,FOLSOM,95630,4,2462,Residential,Wed May 21 00:00:00 EDT 2008,539000
868 HILDEBRAND CIR,FOLSOM,95630,0,0,Residential,Wed May 21 00:00:00 EDT 2008,585000
6030 PALERMO WAY,EL DORADO HILLS,95762,4,0,Residential,Wed May 21 00:00:00 EDT 2008,600000
4070 REDONDO DR,EL DORADO HILLS,95762,4,0,Residential,Wed May 21 00:00:00 EDT 2008,606238
4004 CRESTA WAY,SACRAMENTO,95864,3,2325,Residential,Wed May 21 00:00:00 EDT 2008,660000
315 JUMEL CT,EL DORADO HILLS,95762,6,0,Residential,Wed May 21 00:00:00 EDT 2008,830000
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,2,795,Condo,Tue May 20 00:00:00 EDT 2008,69000
3432 Y ST,SACRAMENTO,95817,4,1099,Residential,Tue May 20 00:00:00 EDT 2008,70000
9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,2,840,Condo,Tue May 20 00:00:00 EDT 2008,71000
3132 CLAY ST,SACRAMENTO,95815,2,800,Residential,Tue May 20 00:00:00 EDT 2008,78000
5221 38TH AVE,SACRAMENTO,95824,2,746,Residential,Tue May 20 00:00:00 EDT 2008,78400
6112 HERMOSA ST,SACRAMENTO,95822,3,1067,Residential,Tue May 20 00:00:00 EDT 2008,80000
483 ARCADE BLVD,SACRAMENTO,95815,4,1316,Residential,Tue May 20 00:00:00 EDT 2008,89000
671 SONOMA AVE,SACRAMENTO,95815,3,1337,Residential,Tue May 20 00:00:00 EDT 2008,90000
5980 79TH ST,SACRAMENTO,95824,2,868,Residential,Tue May 20 00:00:00 EDT 2008,90000
7607 ELDER CREEK RD,SACRAMENTO,95824,3,924,Residential,Tue May 20 00:00:00 EDT 2008,92000
5028 14TH AVE,SACRAMENTO,95820,2,610,Residential,Tue May 20 00:00:00 EDT 2008,93675
14788 NATCHEZ CT,RANCHO MURIETA,95683,0,0,Residential,Tue May 20 00:00:00 EDT 2008,97750
1069 ACACIA AVE,SACRAMENTO,95815,2,1220,Residential,Tue May 20 00:00:00 EDT 2008,98000
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,1,722,Condo,Tue May 20 00:00:00 EDT 2008,98000
3847 LAS PASAS WAY,SACRAMENTO,95864,3,1643,Residential,Tue May 20 00:00:00 EDT 2008,99000
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,1,722,Condo,Tue May 20 00:00:00 EDT 2008,100000
1121 CREEKSIDE WAY,GALT,95632,3,1080,Residential,Tue May 20 00:00:00 EDT 2008,106716
5307 CABRILLO WAY,SACRAMENTO,95820,3,1039,Residential,Tue May 20 00:00:00 EDT 2008,111000
3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,3,1051,Residential,Tue May 20 00:00:00 EDT 2008,111000
4803 MCCLOUD DR,SACRAMENTO,95842,2,967,Residential,Tue May 20 00:00:00 EDT 2008,114800
10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,3,1098,Residential,Tue May 20 00:00:00 EDT 2008,120108
6318 39TH AVE,SACRAMENTO,95824,3,1050,Residential,Tue May 20 00:00:00 EDT 2008,123225
211 MCDANIEL CIR,SACRAMENTO,95838,3,1110,Residential,Tue May 20 00:00:00 EDT 2008,123750
3800 LYNHURST WAY,NORTH HIGHLANDS,95660,3,888,Residential,Tue May 20 00:00:00 EDT 2008,125000
6139 HERMOSA ST,SACRAMENTO,95822,3,1120,Residential,Tue May 20 00:00:00 EDT 2008,125000
2505 RHINE WAY,ELVERTA,95626,3,1080,Residential,Tue May 20 00:00:00 EDT 2008,126000
3692 PAYNE WAY,NORTH HIGHLANDS,95660,3,957,Residential,Tue May 20 00:00:00 EDT 2008,129000
604 MORRISON AVE,SACRAMENTO,95838,2,952,Residential,Tue May 20 00:00:00 EDT 2008,134000
648 SANTA ANA AVE,SACRAMENTO,95838,3,1211,Residential,Tue May 20 00:00:00 EDT 2008,135000
14 ASHLEY OAKS CT,SACRAMENTO,95815,3,1264,Residential,Tue May 20 00:00:00 EDT 2008,135500
3174 NORTHVIEW DR,SACRAMENTO,95833,3,1080,Residential,Tue May 20 00:00:00 EDT 2008,140000
840 TRANQUIL LN,GALT,95632,3,1266,Residential,Tue May 20 00:00:00 EDT 2008,140000
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,2,994,Condo,Tue May 20 00:00:00 EDT 2008,142500
1035 MILLET WAY,SACRAMENTO,95834,3,1202,Residential,Tue May 20 00:00:00 EDT 2008,143500
5201 LAGUNA OAKS DR Unit 126,ELK GROVE,95758,0,0,Condo,Tue May 20 00:00:00 EDT 2008,145000
3328 22ND AVE,SACRAMENTO,95820,2,722,Residential,Tue May 20 00:00:00 EDT 2008,145000
8001 HARTWICK WAY,SACRAMENTO,95828,4,1448,Residential,Tue May 20 00:00:00 EDT 2008,145000
7812 HARTWICK WAY,SACRAMENTO,95828,3,1188,Residential,Tue May 20 00:00:00 EDT 2008,145000
4207 PAINTER WAY,NORTH HIGHLANDS,95660,4,1183,Residential,Tue May 20 00:00:00 EDT 2008,146000
7458 WINKLEY WAY,SACRAMENTO,95822,3,1320,Residential,Tue May 20 00:00:00 EDT 2008,148500
8354 SUNRISE WOODS WAY,SACRAMENTO,95828,3,1117,Residential,Tue May 20 00:00:00 EDT 2008,149000
8116 COTTONMILL CIR,SACRAMENTO,95828,3,1364,Residential,Tue May 20 00:00:00 EDT 2008,150000
4660 CEDARWOOD WAY,SACRAMENTO,95823,4,1310,Residential,Tue May 20 00:00:00 EDT 2008,150000
9254 HARROGATE WAY,ELK GROVE,95758,2,1006,Residential,Tue May 20 00:00:00 EDT 2008,152000
6716 TAREYTON WAY,CITRUS HEIGHTS,95621,3,1104,Residential,Tue May 20 00:00:00 EDT 2008,156000
2028 ROBERT WAY,SACRAMENTO,95825,2,810,Residential,Tue May 20 00:00:00 EDT 2008,156000
9346 AIZENBERG CIR,ELK GROVE,95624,2,1123,Residential,Tue May 20 00:00:00 EDT 2008,156000
4524 LOCH HAVEN WAY,SACRAMENTO,95842,2,904,Residential,Tue May 20 00:00:00 EDT 2008,157788
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,3,1156,Residential,Tue May 20 00:00:00 EDT 2008,161653
4631 11TH AVE,SACRAMENTO,95820,2,1321,Residential,Tue May 20 00:00:00 EDT 2008,161829
3228 BAGGAN CT,ANTELOPE,95843,3,1392,Residential,Tue May 20 00:00:00 EDT 2008,165000
8515 DARTFORD DR,SACRAMENTO,95823,3,1439,Residential,Tue May 20 00:00:00 EDT 2008,168000
4500 TIPPWOOD WAY,SACRAMENTO,95842,3,1159,Residential,Tue May 20 00:00:00 EDT 2008,169000
2460 EL ROCCO WAY,RANCHO CORDOVA,95670,3,1671,Residential,Tue May 20 00:00:00 EDT 2008,175000
8244 SUNBIRD WAY,SACRAMENTO,95823,3,1740,Residential,Tue May 20 00:00:00 EDT 2008,176250
5841 VALLEY VALE WAY,SACRAMENTO,95823,3,1265,Residential,Tue May 20 00:00:00 EDT 2008,179000
7863 CRESTLEIGH CT,ANTELOPE,95843,2,1007,Residential,Tue May 20 00:00:00 EDT 2008,180000
7129 SPRINGMONT DR,ELK GROVE,95758,3,1716,Residential,Tue May 20 00:00:00 EDT 2008,180400
8284 RED FOX WAY,ELK GROVE,95758,4,1685,Residential,Tue May 20 00:00:00 EDT 2008,182000
2219 EL CANTO CIR,RANCHO CORDOVA,95670,4,1829,Residential,Tue May 20 00:00:00 EDT 2008,184500
8907 GEMWOOD WAY,ELK GROVE,95758,3,1555,Residential,Tue May 20 00:00:00 EDT 2008,185000
5925 MALEVILLE AVE,CARMICHAEL,95608,4,1120,Residential,Tue May 20 00:00:00 EDT 2008,189000
7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,3,1137,Residential,Tue May 20 00:00:00 EDT 2008,194000
3949 WILDROSE WAY,SACRAMENTO,95826,3,1174,Residential,Tue May 20 00:00:00 EDT 2008,195000
4437 MITCHUM CT,ANTELOPE,95843,3,1393,Residential,Tue May 20 00:00:00 EDT 2008,200000
2778 KAWEAH CT,CAMERON PARK,95682,3,0,Residential,Tue May 20 00:00:00 EDT 2008,201000
1636 ALLENWOOD CIR,LINCOLN,95648,4,0,Residential,Tue May 20 00:00:00 EDT 2008,202500
8151 QUAIL RIDGE CT,SACRAMENTO,95828,3,1289,Residential,Tue May 20 00:00:00 EDT 2008,205000
4899 WIND CREEK DR,SACRAMENTO,95838,4,1799,Residential,Tue May 20 00:00:00 EDT 2008,205000
2370 BIG CANYON CREEK RD,PLACERVILLE,95667,3,0,Residential,Tue May 20 00:00:00 EDT 2008,205000
6049 HAMBURG WAY,SACRAMENTO,95823,4,1953,Residential,Tue May 20 00:00:00 EDT 2008,205000
4232 71ST ST,SACRAMENTO,95820,2,723,Residential,Tue May 20 00:00:00 EDT 2008,207000
3361 BOW MAR CT,CAMERON PARK,95682,2,0,Residential,Tue May 20 00:00:00 EDT 2008,210000
1889 COLD SPRINGS RD,PLACERVILLE,95667,2,948,Residential,Tue May 20 00:00:00 EDT 2008,211500
5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,4,1578,Residential,Tue May 20 00:00:00 EDT 2008,215000
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,3,1317,Residential,Tue May 20 00:00:00 EDT 2008,215000
3139 SPOONWOOD WAY Unit 1,SACRAMENTO,95833,0,0,Residential,Tue May 20 00:00:00 EDT 2008,215500
6217 LEOLA WAY,SACRAMENTO,95824,3,1360,Residential,Tue May 20 00:00:00 EDT 2008,222381
2340 HURLEY WAY,SACRAMENTO,95825,0,0,Condo,Tue May 20 00:00:00 EDT 2008,225000
3035 BRUNNET LN,SACRAMENTO,95833,3,1522,Residential,Tue May 20 00:00:00 EDT 2008,225000
3025 EL PRADO WAY,SACRAMENTO,95825,4,1751,Residential,Tue May 20 00:00:00 EDT 2008,225000
9387 GRANITE FALLS CT,ELK GROVE,95624,3,1465,Residential,Tue May 20 00:00:00 EDT 2008,225000
9257 CALDERA WAY,SACRAMENTO,95826,4,1605,Residential,Tue May 20 00:00:00 EDT 2008,228000
441 ARLINGDALE CIR,RIO LINDA,95673,4,1475,Residential,Tue May 20 00:00:00 EDT 2008,229665
2284 LOS ROBLES RD,MEADOW VISTA,95722,3,1216,Residential,Tue May 20 00:00:00 EDT 2008,230000
8164 CHENIN BLANC LN,FAIR OAKS,95628,2,1315,Residential,Tue May 20 00:00:00 EDT 2008,230000
